movieId,title,genres,tmdbId,imdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862.0,114709
2,Jumanji (1995),Adventure|Children|Fantasy,8844.0,113497
3,Grumpier Old Men (1995),Comedy|Romance,15602.0,113228
4,Waiting to Exhale (1995),Comedy|Drama|Romance,31357.0,114885
5,Father of the Bride Part II (1995),Comedy,11862.0,113041
6,Heat (1995),Action|Crime|Thriller,949.0,113277
7,Sabrina (1995),Comedy|Romance,11860.0,114319
8,Tom and Huck (1995),Adventure|Children,45325.0,112302
9,Sudden Death (1995),Action,9091.0,114576
10,GoldenEye (1995),Action|Adventure|Thriller,710.0,113189
11,"American President, The (1995)",Comedy|Drama|Romance,9087.0,112346
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12110.0,112896
13,Balto (1995),Adventure|Animation|Children,21032.0,112453
14,Nixon (1995),Drama,10858.0,113987
15,Cutthroat Island (1995),Action|Adventure|Romance,1408.0,112760
16,Casino (1995),Crime|Drama,524.0,112641
17,Sense and Sensibility (1995),Drama|Romance,4584.0,114388
18,Four Rooms (1995),Comedy,5.0,113101
19,Ace Ventura: When Nature Calls (1995),Comedy,9273.0,112281
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,11517.0,113845
21,Get Shorty (1995),Comedy|Crime|Thriller,8012.0,113161
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1710.0,112722
23,Assassins (1995),Action|Crime|Thriller,9691.0,112401
24,Powder (1995),Drama|Sci-Fi,12665.0,114168
25,Leaving Las Vegas (1995),Drama|Romance,451.0,113627
26,Othello (1995),Drama,16420.0,114057
27,Now and Then (1995),Children|Drama,9263.0,114011
28,Persuasion (1995),Drama|Romance,17015.0,114117
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,902.0,112682
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,37557.0,115012
31,Dangerous Minds (1995),Drama,9909.0,112792
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,63.0,114746
34,Babe (1995),Children|Drama,9598.0,112431
36,Dead Man Walking (1995),Crime|Drama,687.0,112818
38,It Takes Two (1995),Children|Comedy,33689.0,113442
39,Clueless (1995),Comedy|Romance,9603.0,112697
40,"Cry, the Beloved Country (1995)",Drama,34615.0,112749
41,Richard III (1995),Drama|War,31174.0,114279
42,Dead Presidents (1995),Action|Crime|Drama,11443.0,112819
43,Restoration (1995),Drama,35196.0,114272
44,Mortal Kombat (1995),Action|Adventure|Fantasy,9312.0,113855
45,To Die For (1995),Comedy|Drama|Thriller,577.0,114681
46,How to Make an American Quilt (1995),Drama|Romance,11861.0,113347
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,807.0,114369
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,10530.0,114148
49,When Night Is Falling (1995),Drama|Romance,8391.0,114916
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,629.0,114814
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,11448.0,113819
53,Lamerica (1994),Adventure|Drama,49133.0,110299
54,"Big Green, The (1995)",Children|Comedy,26441.0,112499
55,Georgia (1995),Drama,97406.0,113158
57,Home for the Holidays (1995),Drama,9089.0,113321
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,11010.0,110877
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,11359.0,113419
61,Eye for an Eye (1996),Drama|Thriller,17182.0,116260
62,Mr. Holland's Opus (1995),Drama,2054.0,113862
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,10607.0,116126
64,Two if by Sea (1996),Comedy|Romance,19760.0,118002
65,Bio-Dome (1996),Comedy,9536.0,115683
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,11525.0,116839
68,French Twist (Gazon maudit) (1995),Comedy|Romance,4482.0,113149
69,Friday (1995),Comedy,10634.0,113118
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,755.0,116367
71,Fair Game (1995),Action,11859.0,113010
72,Kicking and Screaming (1995),Comedy|Drama,28387.0,113537
73,"Misérables, Les (1995)",Drama|War,48750.0,113828
74,Bed of Roses (1996),Drama|Romance,20927.0,115644
75,Big Bully (1996),Comedy|Drama,36929.0,115676
76,Screamers (1995),Action|Sci-Fi|Thriller,9102.0,114367
77,Nico Icon (1995),Documentary,124626.0,113973
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,27526.0,112744
79,"Juror, The (1996)",Drama|Thriller,9623.0,116731
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,46785.0,112445
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,400.0,114660
82,Antonia's Line (Antonia) (1995),Comedy|Drama,880.0,112379
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,146599.0,114039
85,Angels and Insects (1995),Drama|Romance,8447.0,112365
86,White Squall (1996),Action|Adventure|Drama,10534.0,118158
87,Dunston Checks In (1996),Children|Comedy,17414.0,116151
88,Black Sheep (1996),Comedy,13997.0,115697
89,Nick of Time (1995),Action|Thriller,2086.0,113972
92,Mary Reilly (1996),Drama|Horror|Thriller,9095.0,117002
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,12158.0,114825
94,Beautiful Girls (1996),Comedy|Drama|Romance,9283.0,115639
95,Broken Arrow (1996),Action|Adventure|Thriller,9208.0,115759
96,In the Bleak Midwinter (1995),Comedy|Drama,40154.0,113403
97,"Hate (Haine, La) (1995)",Crime|Drama,406.0,113247
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,63076.0,113283
100,City Hall (1996),Drama|Thriller,11062.0,115907
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,13685.0,115734
102,Mr. Wrong (1996),Comedy,47475.0,117102
